severity,top_error_px,wrong_segment,wrong_material,player_x_q8,player_y_q8,angle,physical_column,actual_top,expected_top,actual_style,actual_face_key,actual_along,actual_segment,expected_axis,expected_material,expected_cell_x,expected_cell_y,expected_segment,pair_index,total_casts,edge_recasts,map_neighborhood
32.0,32.0,True,False,3456,2432,12,153,32,0.0,5,47,10,V:15:1-14:m1:W,1,1,13,10,H:10:13-13:m1:N,76,44,2,10001/11101/10P01/10101/00101
32.0,32.0,True,False,2432,2432,244,6,32,0.0,5,43,8,V:11:3-9:m1:W,1,1,9,8,H:9:7-9:m1:S,3,44,2,00001/11101/00P01/01111/00000
32.0,32.0,True,False,2176,2432,116,6,32,0.0,5,39,10,V:7:9-11:m1:E,1,1,8,10,H:10:8-10:m1:N,3,44,2,00000/11110/10P00/10111/10000
32.0,32.0,True,False,640,2432,244,6,32,0.0,5,36,8,V:4:6-9:m1:W,1,1,2,8,H:9:1-2:m1:S,3,44,2,10001/11101/10P01/10111/10000
32.0,32.0,True,False,640,2432,116,6,32,0.0,5,33,10,V:1:9-14:m1:E,1,1,2,10,H:10:2-3:m1:N,3,44,2,10001/11101/10P01/10111/10000
32.0,32.0,True,False,3456,1920,244,6,32,0.0,5,47,6,V:15:1-14:m1:W,1,1,13,6,H:7:13-13:m1:S,3,44,2,10101/10101/10P01/11101/10001
32.0,32.0,True,False,3456,1920,140,153,32,0.0,5,44,6,V:12:2-7:m1:E,1,1,13,6,H:7:13-13:m1:S,76,44,2,10101/10101/10P01/11101/10001
32.0,32.0,True,False,3456,1920,12,153,32,0.0,5,47,8,V:15:1-14:m1:W,1,1,13,8,H:8:12-13:m1:N,76,44,2,10101/10101/10P01/11101/10001
32.0,32.0,True,False,2432,1920,244,6,32,0.0,5,43,6,V:11:3-9:m1:W,1,1,9,6,H:7:5-9:m1:S,3,44,2,00001/11101/00P01/11101/00001
32.0,32.0,True,False,2432,1920,12,153,32,0.0,5,43,8,V:11:3-9:m1:W,1,1,9,8,H:8:6-9:m1:N,76,44,2,00001/11101/00P01/11101/00001
