method,top_mae_px,top_p95_px,top_p99_px,top_max_px,wrong_wall_segment_pct,wrong_material_pct,physical_column_samples
"v0.1.0 quarter-step, 40 rays / 4 px",3.30662095794571,8.139980239198955,12.0,42.0,7.807783792650919,0.3092191601049869,487680
"v0.2.0 full exact DDA, 80 rays / 2 px",0.25514945407087003,1.097137220808385,1.7981573274554705,38.46851796749403,0.3440780839895013,0.028707349081364828,487680
"v0.2.0 validated adaptive DDA, 80 columns",0.257208342092943,1.0890423362805137,1.7981573274554705,38.46851796749403,0.3440780839895013,0.028707349081364828,487680
